                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3244,                 1.5917,                 1.1228,                0.30356,                 0.2698,                0.17554,                0.10408,                 1.4915,                 2.2076,                 1.2463,             0.00084162,             0.00084162,             0.00084162
                     36,                 1.3236,                 1.6037,                 1.1284,                0.20383,                0.37214,                 0.2082,                0.11364,                  1.553,                 2.0411,                 1.2919,             0.00082925,             0.00082925,             0.00082925
                     37,                  1.312,                  1.545,                 1.1145,                0.19255,                 0.4069,                 0.2311,                0.13036,                 1.5223,                 2.0354,                  1.308,             0.00081688,             0.00081688,             0.00081688
                     38,                 1.2859,                 1.5387,                 1.1001,                0.21124,                0.42462,                0.22491,                0.12336,                 1.5333,                  2.107,                 1.2853,              0.0008045,              0.0008045,              0.0008045
                     39,                 1.2743,                 1.5229,                 1.1089,                0.24492,                0.38422,                0.23058,                0.12733,                  1.537,                 2.0814,                 1.2866,             0.00079213,             0.00079213,             0.00079213
                     40,                 1.2728,                 1.5122,                 1.0969,                 0.2049,                0.35082,                0.18094,                0.09339,                 1.6495,                   2.17,                  1.366,             0.00077975,             0.00077975,             0.00077975
                     41,                 1.2999,                 1.4907,                 1.1175,                0.20425,                0.38927,                0.20115,                 0.1092,                 1.5705,                 2.1374,                 1.3087,             0.00076738,             0.00076738,             0.00076738
                     42,                 1.2473,                 1.4801,                 1.0968,                0.22745,                0.33591,                0.24337,                0.13548,                 1.5557,                 1.9954,                 1.3063,               0.000755,               0.000755,               0.000755
                     43,                 1.2479,                 1.4547,                 1.0922,                0.22943,                0.42957,                0.24954,                 0.1441,                 1.4857,                 2.0294,                 1.2696,             0.00074263,             0.00074263,             0.00074263
                     44,                 1.2621,                 1.4739,                    1.1,                0.22637,                0.42623,                0.22331,                0.12014,                  1.578,                 2.1721,                 1.3071,             0.00073025,             0.00073025,             0.00073025
                     45,                 1.2735,                 1.4671,                    1.1,                0.24142,                0.38941,                0.23324,                0.12864,                 1.5794,                 2.1678,                 1.3191,             0.00071788,             0.00071788,             0.00071788
                     46,                 1.2814,                  1.417,                 1.1035,                0.16209,                0.43906,                0.19122,                 0.1031,                  1.619,                  2.386,                 1.3378,              0.0007055,              0.0007055,              0.0007055
                     47,                 1.2616,                 1.4445,                  1.098,                0.19322,                0.42914,                0.18479,                0.10218,                 1.5974,                 2.2145,                 1.3083,             0.00069313,             0.00069313,             0.00069313
                     48,                  1.236,                 1.4297,                 1.0861,                  0.227,                 0.3812,                0.23358,                0.13014,                 1.5497,                  2.126,                 1.3089,             0.00068075,             0.00068075,             0.00068075
                     49,                 1.2277,                 1.3754,                  1.097,                0.27131,                0.32212,                0.24579,                0.13391,                 1.5424,                 2.1233,                  1.319,             0.00066838,             0.00066838,             0.00066838
                     50,                 1.2322,                 1.3985,                 1.0936,                0.29215,                0.38262,                0.26675,                0.15776,                 1.5083,                 1.9766,                 1.2885,               0.000656,               0.000656,               0.000656
                     51,                 1.2039,                 1.3407,                 1.0726,                0.28345,                  0.381,                0.25468,                0.14482,                 1.5278,                 1.9375,                 1.3051,             0.00064362,             0.00064362,             0.00064362
                     52,                  1.215,                 1.3728,                 1.0667,                0.39095,                0.32759,                0.27122,                0.15593,                 1.5191,                 2.0203,                 1.2991,             0.00063125,             0.00063125,             0.00063125
                     53,                 1.2173,                 1.3406,                  1.076,                0.22961,                 0.3431,                0.23011,                0.13231,                 1.5115,                 2.0533,                 1.3034,             0.00061887,             0.00061887,             0.00061887
                     54,                 1.2012,                 1.3321,                 1.0779,                 0.2113,                0.41941,                0.22291,                0.13036,                  1.486,                 2.0498,                 1.2814,              0.0006065,              0.0006065,              0.0006065
                     55,                 1.2276,                 1.3331,                 1.0875,                0.22304,                 0.3731,                0.21116,                0.12084,                 1.5332,                 2.0951,                  1.312,             0.00059413,             0.00059413,             0.00059413
                     56,                 1.2145,                 1.3199,                 1.0728,                0.20665,                0.34577,                0.23046,                0.13275,                 1.5389,                 2.0859,                 1.2894,             0.00058175,             0.00058175,             0.00058175
                     57,                 1.1611,                 1.2981,                 1.0496,                0.20918,                0.34998,                 0.2063,                0.11456,                  1.583,                 2.1582,                 1.3218,             0.00056938,             0.00056938,             0.00056938
                     58,                 1.1921,                 1.2843,                 1.0695,                0.16709,                0.40334,                 0.1775,                0.09769,                 1.5661,                 2.2802,                 1.3051,               0.000557,               0.000557,               0.000557
