                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8234,                 4.1502,                 1.4134,                0.00053,                0.02065,                0.00042,                 0.0002,                 1.4482,                 4.1009,                 1.2017,              0.0001375,              0.0001375,              0.0001375
                      2,                   1.62,                 3.1126,                  1.175,                0.01166,                0.37797,                0.11281,                0.06696,                 1.3745,                 3.6685,                 1.0978,             0.00028465,             0.00028465,             0.00028465
                      3,                 1.5914,                 2.3394,                 1.1689,                0.01711,                0.59139,                0.15552,                0.09105,                 1.4866,                 3.3603,                 1.1782,             0.00042884,             0.00042884,             0.00042884
                      4,                  1.547,                 2.1483,                 1.1107,                0.18986,                0.25025,                0.21568,                0.12593,                 1.4181,                 2.5966,                 1.1574,             0.00057005,             0.00057005,             0.00057005
                      5,                 1.4836,                 2.0119,                 1.1299,                0.43861,                0.34798,                0.21245,                0.12461,                 1.3713,                 2.2733,                 1.1885,             0.00070829,             0.00070829,             0.00070829
                      6,                 1.5049,                 1.9923,                 1.1153,                0.44082,                0.39891,                0.23387,                0.14134,                 1.3319,                 2.1828,                 1.1527,             0.00084357,             0.00084357,             0.00084357
                      7,                 1.4923,                 1.9193,                 1.1153,                0.23251,                0.46698,                0.25605,                0.15659,                 1.3582,                 2.0064,                 1.1499,             0.00097587,             0.00097587,             0.00097587
                      8,                  1.438,                 1.8294,                 1.1201,                0.25205,                 0.4677,                0.27409,                0.16244,                 1.4169,                 1.9544,                  1.162,              0.0011052,              0.0011052,              0.0011052
                      9,                 1.3691,                 1.8028,                 1.1003,                0.25465,                0.55982,                0.33841,                0.21134,                 1.3166,                 1.8063,                 1.0804,               0.001151,               0.001151,               0.001151
                     10,                 1.3727,                 1.7243,                 1.1012,                0.50058,                0.45467,                0.36893,                0.23723,                 1.3039,                 1.8888,                 1.0656,               0.001151,               0.001151,               0.001151
                     11,                 1.3776,                 1.7389,                 1.0883,                0.24217,                0.41341,                0.32758,                 0.2087,                 1.3149,                 1.9749,                  1.062,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.3493,                 1.7201,                 1.0772,                0.27669,                0.45782,                0.36702,                0.23356,                 1.2963,                 1.8619,                 1.0566,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.3702,                 1.6939,                 1.1025,                0.35824,                0.51698,                0.40947,                0.25306,                 1.3182,                 1.7707,                 1.0672,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.3182,                  1.655,                 1.0848,                0.34344,                0.56561,                0.39595,                0.24416,                 1.2973,                 1.7481,                 1.0682,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.3362,                 1.6279,                 1.0648,                0.28596,                0.54358,                0.39237,                0.24301,                 1.3192,                 1.6737,                 1.0598,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.3436,                 1.6246,                 1.0676,                0.32061,                0.51589,                0.38558,                0.23532,                 1.3364,                 1.6999,                 1.0727,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.3335,                 1.6282,                  1.079,                0.30374,                 0.4988,                0.37505,                0.22864,                 1.2748,                 1.8983,                 1.0688,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.3093,                 1.5975,                 1.0741,                0.29952,                 0.5747,                0.36607,                0.21784,                 1.3513,                 1.7176,                 1.0863,               0.001052,               0.001052,               0.001052
                     19,                 1.2458,                 1.5973,                 1.0478,                0.25374,                0.47568,                0.30348,                0.18407,                 1.3612,                 1.9868,                 1.0814,              0.0010396,              0.0010396,              0.0010396
                     20,                 1.2989,                 1.5994,                 1.0722,                0.21212,                0.52238,                0.32129,                0.19943,                 1.2865,                 1.9204,                 1.0674,              0.0010273,              0.0010273,              0.0010273
                     21,                 1.2965,                 1.4974,                  1.052,                0.25558,                0.44654,                0.29725,                0.17068,                 1.3946,                 1.9502,                 1.1042,              0.0010149,              0.0010149,              0.0010149
                     22,                 1.2921,                 1.5394,                 1.0737,                 0.3301,                0.56792,                 0.3965,                0.24596,                 1.2779,                 1.6161,                 1.0475,              0.0010025,              0.0010025,              0.0010025
                     23,                  1.295,                 1.5253,                 1.0599,                0.29732,                0.51342,                0.36582,                0.21279,                 1.4664,                 1.7398,                 1.1035,             0.00099013,             0.00099013,             0.00099013
                     24,                 1.3059,                 1.5234,                 1.0672,                0.32655,                0.57811,                 0.3659,                0.23544,                 1.2746,                 1.7591,                 1.0497,             0.00097775,             0.00097775,             0.00097775
                     25,                 1.2606,                 1.4226,                 1.0418,                0.28217,                0.55695,                0.37085,                0.22652,                 1.3062,                 1.8319,                  1.088,             0.00096537,             0.00096537,             0.00096537
                     26,                 1.2611,                 1.4654,                 1.0364,                0.37021,                0.49989,                0.40124,                0.25653,                 1.3083,                  1.669,                 1.0987,               0.000953,               0.000953,               0.000953
                     27,                 1.2758,                 1.4845,                 1.0282,                0.29538,                0.60314,                0.37791,                0.23739,                 1.2899,                 1.6585,                 1.0907,             0.00094062,             0.00094062,             0.00094062
                     28,                 1.2425,                 1.4619,                 1.0418,                0.34222,                0.56983,                0.40389,                0.26234,                 1.2826,                 1.6259,                  1.091,             0.00092825,             0.00092825,             0.00092825
                     29,                 1.2425,                 1.4313,                 1.0425,                0.36094,                0.46818,                0.39184,                0.25175,                 1.2872,                 1.6373,                 1.0697,             0.00091588,             0.00091588,             0.00091588
                     30,                 1.2403,                 1.3921,                 1.0424,                0.35421,                0.52513,                0.36403,                0.24056,                 1.2648,                 1.7389,                 1.0637,              0.0009035,              0.0009035,              0.0009035
                     31,                 1.1978,                 1.3592,                 1.0233,                0.30046,                0.59831,                 0.3897,                0.24694,                 1.3266,                 1.7928,                 1.0973,             0.00089112,             0.00089112,             0.00089112
                     32,                 1.2461,                 1.3477,                 1.0397,                0.30899,                0.61501,                0.41226,                0.26189,                 1.2831,                 1.5965,                  1.067,             0.00087875,             0.00087875,             0.00087875
                     33,                 1.2524,                 1.3859,                 1.0353,                0.37986,                0.55945,                0.40614,                0.25998,                 1.3033,                 1.5748,                 1.0669,             0.00086637,             0.00086637,             0.00086637
                     34,                 1.2222,                 1.3628,                 1.0242,                0.31581,                0.57164,                0.40191,                0.25583,                 1.2814,                 1.7389,                 1.0707,               0.000854,               0.000854,               0.000854
                     35,                 1.2608,                 1.3283,                  1.033,                0.40242,                0.49352,                0.41041,                0.26133,                 1.3079,                 1.6348,                  1.074,             0.00084162,             0.00084162,             0.00084162
                     36,                 1.1783,                 1.3488,                 1.0265,                0.30015,                 0.5496,                0.38307,                0.24289,                 1.3055,                 1.7091,                 1.0602,             0.00082925,             0.00082925,             0.00082925
