                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8234,                 4.1502,                 1.4134,                0.00053,                0.02065,                0.00042,                 0.0002,                 1.4482,                 4.1009,                 1.2017,              0.0001375,              0.0001375,              0.0001375
                      2,                 1.6185,                 3.1173,                 1.1746,                0.01142,                0.36437,                0.11058,                 0.0655,                 1.3744,                 3.6682,                 1.0962,             0.00028181,             0.00028181,             0.00028181
                      3,                 1.5865,                 2.3433,                 1.1696,                0.01734,                0.61373,                0.16437,                0.09447,                 1.4986,                   3.35,                 1.1752,             0.00042017,             0.00042017,             0.00042017
                      4,                 1.5469,                 2.1486,                 1.1068,                0.19635,                0.23421,                0.20844,                0.12254,                 1.4173,                 2.6797,                 1.1506,              0.0005526,              0.0005526,              0.0005526
                      5,                 1.4875,                 2.0159,                 1.1319,                 0.4592,                0.31462,                0.22689,                0.13894,                 1.3225,                 2.2893,                 1.1426,             0.00067909,             0.00067909,             0.00067909
                      6,                 1.5002,                 1.9805,                 1.1161,                0.22957,                 0.3785,                 0.2361,                0.14087,                 1.3522,                 2.1156,                 1.1308,             0.00079964,             0.00079964,             0.00079964
                      7,                 1.4822,                 1.9067,                 1.1141,                0.22959,                0.48821,                0.25404,                0.15825,                 1.3543,                 1.9963,                 1.1128,             0.00091425,             0.00091425,             0.00091425
                      8,                 1.4244,                 1.8125,                 1.1116,                0.28153,                0.40806,                0.28397,                 0.1701,                 1.4223,                 1.9889,                 1.1463,              0.0010229,              0.0010229,              0.0010229
                      9,                  1.384,                  1.801,                 1.1067,                0.25823,                0.50484,                0.32424,                0.21018,                 1.3084,                 1.8815,                 1.0809,               0.001052,               0.001052,               0.001052
                     10,                  1.382,                 1.7253,                 1.1016,                0.46833,                0.47628,                 0.3446,                0.21642,                 1.3337,                 1.9233,                 1.0846,               0.001052,               0.001052,               0.001052
                     11,                 1.3845,                 1.7362,                 1.0942,                0.32332,                 0.4144,                0.31858,                 0.2089,                 1.2935,                 1.9102,                 1.0751,              0.0010273,              0.0010273,              0.0010273
                     12,                 1.3404,                 1.6929,                 1.0753,                0.26818,                0.52938,                0.37243,                0.24303,                 1.2908,                 1.7282,                 1.0565,              0.0010025,              0.0010025,              0.0010025
                     13,                 1.3634,                  1.701,                 1.0932,                0.29973,                0.52179,                0.41045,                0.26391,                 1.2943,                 1.6885,                 1.0569,             0.00097775,             0.00097775,             0.00097775
                     14,                 1.3086,                 1.6338,                 1.0773,                0.31619,                 0.5221,                0.39113,                0.24812,                  1.275,                 1.8187,                 1.0453,               0.000953,               0.000953,               0.000953
                     15,                 1.3398,                 1.6086,                 1.0633,                0.24622,                0.48764,                0.35059,                 0.2116,                 1.3675,                 1.9463,                 1.0767,             0.00092825,             0.00092825,             0.00092825
                     16,                 1.3169,                  1.626,                 1.0532,                0.30308,                0.46854,                0.37812,                0.23386,                 1.3328,                 1.6971,                 1.0755,              0.0009035,              0.0009035,              0.0009035
                     17,                 1.3189,                 1.6428,                 1.0699,                0.22199,                0.47378,                0.29285,                0.17688,                  1.354,                 2.1567,                 1.1114,             0.00087875,             0.00087875,             0.00087875
                     18,                 1.3019,                 1.5933,                 1.0696,                0.28732,                0.52965,                0.36853,                0.20905,                 1.3997,                 1.8008,                 1.1081,               0.000854,               0.000854,               0.000854
                     19,                 1.2643,                 1.6007,                 1.0508,                0.36899,                0.51151,                0.40571,                0.25387,                 1.3033,                 1.6692,                 1.0554,             0.00082925,             0.00082925,             0.00082925
                     20,                 1.2719,                   1.61,                 1.0606,                0.43415,                0.45304,                0.41893,                0.26798,                 1.2801,                 1.6441,                 1.0697,              0.0008045,              0.0008045,              0.0008045
                     21,                 1.2775,                 1.4916,                 1.0462,                0.35242,                0.50687,                0.38756,                0.24124,                 1.2809,                  1.762,                 1.0537,             0.00077975,             0.00077975,             0.00077975
                     22,                 1.2399,                  1.528,                 1.0567,                0.34793,                0.51778,                0.40977,                0.26183,                 1.2914,                 1.6739,                 1.0563,               0.000755,               0.000755,               0.000755
                     23,                  1.268,                 1.5115,                 1.0455,                0.33835,                0.58315,                0.37715,                 0.2283,                  1.376,                 1.7305,                 1.0759,             0.00073025,             0.00073025,             0.00073025
                     24,                 1.2757,                 1.4724,                 1.0557,                0.34323,                0.54144,                0.40034,                0.25829,                 1.2902,                 1.6412,                 1.0469,              0.0007055,              0.0007055,              0.0007055
                     25,                 1.2385,                 1.4256,                 1.0346,                0.29631,                0.52062,                0.37651,                 0.2256,                 1.4079,                   1.73,                 1.1126,             0.00068075,             0.00068075,             0.00068075
                     26,                 1.2521,                 1.4332,                 1.0258,                0.30728,                0.40623,                0.32738,                0.20285,                 1.3165,                 1.8837,                 1.0721,               0.000656,               0.000656,               0.000656
                     27,                   1.27,                  1.451,                 1.0267,                0.35838,                0.48079,                0.35519,                0.21138,                 1.3988,                 1.7603,                 1.1259,             0.00063125,             0.00063125,             0.00063125
                     28,                 1.2282,                 1.4348,                 1.0374,                0.31875,                0.57984,                0.39075,                0.25212,                 1.2905,                 1.7232,                  1.066,              0.0006065,              0.0006065,              0.0006065
                     29,                 1.2252,                 1.4221,                 1.0336,                0.31355,                  0.493,                0.36943,                0.23236,                 1.3188,                 1.7023,                  1.078,             0.00058175,             0.00058175,             0.00058175
                     30,                 1.2161,                 1.3693,                 1.0393,                0.39243,                 0.4699,                0.38642,                0.24463,                 1.2565,                 1.6823,                 1.0451,               0.000557,               0.000557,               0.000557
                     31,                 1.2088,                 1.3399,                 1.0285,                0.32251,                0.52424,                0.37395,                0.24429,                 1.2807,                 1.6928,                 1.0754,             0.00053225,             0.00053225,             0.00053225
                     32,                 1.2383,                 1.3473,                  1.036,                0.37152,                0.48691,                0.40484,                0.26581,                 1.2639,                 1.5955,                 1.0689,              0.0005075,              0.0005075,              0.0005075
                     33,                 1.2269,                 1.3709,                 1.0371,                0.39516,                0.51959,                 0.4021,                0.25801,                 1.2709,                 1.5879,                  1.062,             0.00048275,             0.00048275,             0.00048275
                     34,                 1.2087,                 1.3476,                 1.0187,                0.35715,                0.53816,                0.39322,                0.24422,                 1.2974,                 1.6022,                 1.0754,               0.000458,               0.000458,               0.000458
                     35,                 1.2324,                 1.2713,                 1.0241,                0.35675,                0.52109,                0.39239,                0.25359,                 1.2565,                 1.6025,                 1.0534,             0.00043325,             0.00043325,             0.00043325
                     36,                 1.1523,                 1.3033,                 1.0162,                0.36225,                0.53137,                0.38998,                0.25024,                 1.2877,                 1.6173,                 1.0643,              0.0004085,              0.0004085,              0.0004085
                     37,                  1.177,                 1.2331,                  1.006,                0.35533,                0.53757,                0.39771,                 0.2554,                 1.2793,                 1.6385,                 1.0658,             0.00038375,             0.00038375,             0.00038375
                     38,                 1.1869,                 1.2729,                  1.021,                0.35069,                0.50671,                0.39848,                0.25618,                 1.2663,                 1.6058,                 1.0674,               0.000359,               0.000359,               0.000359
                     39,                 1.2132,                 1.2829,                 1.0045,                0.33864,                0.50438,                0.37448,                0.24268,                 1.2946,                 1.6448,                 1.0787,             0.00033425,             0.00033425,             0.00033425
                     40,                 1.1809,                 1.2365,                 1.0127,                0.35084,                0.51743,                0.38041,                0.24711,                 1.2583,                 1.6648,                 1.0602,              0.0003095,              0.0003095,              0.0003095
                     41,                 1.1431,                 1.2659,                 1.0152,                0.34666,                0.52054,                0.38893,                0.25041,                 1.2622,                 1.6716,                 1.0575,             0.00028475,             0.00028475,             0.00028475
                     42,                 1.1216,                 1.2079,                 1.0064,                0.36918,                0.47944,                0.38748,                0.25187,                 1.2607,                 1.7361,                 1.0535,                0.00026,                0.00026,                0.00026
